Code|Label|Description|Year|Reference
Ceres|Ceres|The largest object in the asteroid belt, a dwarf planet with a rocky surface and possible water-ice beneath.||
Earth|Earth|The only planet known to support life, with oceans and land.||
Jup|Jupiter|Massive gas giant with a Great Red Spot storm.||
Kepler|Kepler-186f|An Earth-sized planet in the habitable zone of its star Kepler 186.||
Mars|Mars|Red, dusty, and potentially home to ancient water.||
Mer|Mercury|Small, rocky, and closest to the Sun||
Nep|Neptune|Cold, blue ice giant with strong winds.||
Planet|Planet|Model of planet according to the IAU||
Pluto|Pluto|A small, icy dwarf planet in the Kuiper Belt, with a highly elliptical orbit.||
Sat|Saturn|Gas giant with prominent, beautiful rings.||
Sun|Sun|A massive, glowing ball of hot plasma, the central star of our solar system, providing heat and light to support life on Earth through nuclear fusion at its core.|1|
Uran|Uranus|Ice giant tilted on its side, with faint rings.||
Ven|Venus|Hot, with thick clouds and extreme greenhouse effect.||
