Code|Label|Description|Year|Reference
Ceres|Ceres|El objeto más grande del cinturón de asteroides, un planeta enano con una superficie rocosa y posible hielo de agua debajo.||
Jup|Júpiter|Gigante gaseoso masivo con una tormenta llamada Gran Mancha Roja.||
Kepler|Kepler-186f|Un exoplaneta del tamaño de la Tierra en la zona habitable de la estrella Kepler 186.||
Mars|Marte|Rojo, polvoriento y potencialmente hogar de agua antigua.||
Mer|Mercurio|Pequeño, rocoso y el más cercano al Sol.||
Nep|Neptuno|Gigante de hielo azul y frío con fuertes vientos.||
Planet|Planeta|Modelo de planeta de acuerdo a la IAU.||
Pluto|Plutón|Un pequeño planeta enano helado en el Cinturón de Kuiper, con una órbita altamente elíptica.||
Sat|Saturno|Gigante gaseoso con anillos prominentes y hermosos.||
Sun|Sol|Una enorme y brillante bola de plasma caliente, la estrella central de nuestro Sistema Solar, que proporciona calor y luz para sustentar la vida en la Tierra a través de la fusión nuclear en su núcleo.|1|
Earth|Tierra|El único planeta conocido que alberga vida, con océanos y tierra.||
Uran|Urano|Gigante de hielo inclinado de lado, con anillos tenues.||
Ven|Venus|Caluroso, con nubes espesas y un efecto invernadero extremo.||
